Name,author,Repo,type,thumb,description,maturity,Home,language,license,Contacted?,Note,JekyllContent,Filename,Screenshot,Removed,Room
Navi,Maximilian Fricke,https://github.com/madmax28/navi,bot,,A minimal Matrix notification bot,Alpha,,Python,Apache,,,"Navi is a tiny bot for Matrix that sends notifications to users. It is builtupon the [Matrix Python SDK](https://github.com/matrix-org/matrix-python-sdk).

The motivation behind Navi is to send notifications from anywhere to everywhere. This includes the push services GCM and APNs that [Riot](https://riot.im/) bridges to, without having to rely on services such as Pushbullet or Pushover.

The first time you use it, Navi creates a new room and invites your user to it. The room will be reused afterwards. If you leave the room, so will Navi, and invite you to a new room.

Follow the progress and grab the code from [GitHub](https://github.com/madmax28/navi)!",2017-02-05-navi.md,,,
mm,Meutraa,https://gitlab.com/meutraa/mm/tree/master,client,,A minimalistic client written in Go,Alpha,,Go,ISC,,,"A minimalistic client written in Go

Features

* Less than 250 lines of code.
* Fetching last ten messages of each room on start.
* Receiving messages by long polling sync call.
* Sending messages through named pipes.
* Marking latest event as read (the recommendation to only mark this as read when the user has read the message seems iffy here. An IMAP type tagging system could work, but would be as complex as the program itself). At least this way, users of other clients will know your computer has recieved the message.
* Online presence.
* Message modification time set to message timestamp minus five seconds.
* List of new messages (file paths) written to stdout

Planned

* Syncing all message history without gaps.


Above list fetched from [gitlab](https:///gitlab.com/meutraa/mm/tree/master)!",2016-10-07-mm.md,,,
matrix-static,Michael Telatynski,https://github.com/t3chguy/matrix-static,client,,A static golang generated preview of public world readable Matrix rooms,Stable,,Go,Apache,,,"[matrix-static](https://view.matrix.org) is a static read-only Matrix Client, useful for peeking into Public Rooms and designed to be spidered/indexed.

The source (and more information) can be found on [GitHub](https://github.com/t3chguy/matrix-static).",2017-08-09-matrix-static.md,,,
Matrix bot nodes for Node-RED,mlopezr,https://github.com/mlopezr/node-red-contrib-matrixbot,other,,Visual bot creation using Node-RED,Alpha,,JavaScript,,,,"It's very easy to create simple interactions with a Matrix chatroom without programming. Discover Node-RED, a visual tool to wire together APIs. We have extended Node-RED with nodes to listen and talk in Matrix chatrooms.

![image](https://github.com/mlopezr/node-red-contrib-matrixbot/raw/master/docs/nodered-twitter.png)

Check it out on [GitHub](https://github.com/mlopezr/node-red-contrib-matrixbot).",2016-09-05-node-red-nodes.md,,,
Morpheus,MTRNord,https://github.com/Nordgedanken/Morpheus/,client,/docs/projects/images/morpheus.png,A windows focused QT Client written in Golang.,No longer maintained,,Go,GPL3,,,"Morpheus is a windows focused native desktop Matrix client.

- Not maintained because of lack of time -

It currently is in early stages (alpha) and provides a few features only.
Current features are receving and sending messages, as well as a cache for messages. Planned is the most that's possible, even encryption. To make it progress faster any help is appreciated.
You can find its sourcecode at [github](https://github.com/Nordgedanken/Morpheus/).

If you want to join the discussion a chatroom can be joined at [#Morpheus:matrix.ffslfl.net](https://matrix.to/#/#Morpheus:matrix.ffslfl.net)",2017-10-14-morpheus.md,/docs/projects/images/morpheus.png,,
nheko,mujx,https://github.com/mujx/nheko,client,/docs/projects/images/nheko_thumb.png,A Qt/C++11 desktop client for Matrix,Late Alpha,https://bintray.com/mujx/matrix/nheko/,C++/Qt,GPL3,,,"The motivation behind the project is to provide a native desktop app for Matrix that feels more like a mainstream chat app (Riot, Telegram etc) and less like an IRC client.

Join the discussion on Matrix [#nheko:matrix.org](https://matrix.to/#/#nheko:matrix.org).",2017-05-02-nheko.md,https://matrix.org/_matrix/media/v1/download/matrix.org/YZyaLdQcOIPkrtHpFwULfHLy,,#nheko:matrix.org
SmartParking,"Natan Bagrov, Ran Moshe",https://github.com/NatanBagrov/SmartParking,other,,A parking system PoC using Matrix,Alpha,,PowerShell,,,,"A proof of concept of a Smart Parking system, where each parking space is monitored and connected to the Smart Parking Manager via Matrix. This project was written for a hackathon.

Check it out on [GitHub](https://github.com/NatanBagrov/SmartParking).",2017-02-06-smartparking.md,,,
redpill,oddvar,https://github.com/oddvar/redpill,client,https://matrix.org/blog/wp-content/uploads/2015/04/redpill0.7-400x284.png,A Python2 CLI client,Alpha,,Python,,,,Oddvar's Python2 CLI client – redpill ([github](https://github.com/oddvar/redpill)),2016-02-03-redpill.md,https://matrix.org/blog/wp-content/uploads/2015/04/redpill0.7.png,,
matrix-appservice-rocketchat,oddvar,https://github.com/matrix-org/matrix-appservice-rocketchat,as,,This project bridges Rocket Chat to Matrix.,Early Beta,,JavaScript,,,,"This project bridges [Rocket Chat](https://rocket.chat) to Matrix. This uses Rocket Chat's webhooks directly (there is also a Hubot-solution - see the [Rocket Chat federation](http://matrix.org/docs/projects/as/rocket-chat-federation.html) project).

Get it from [github](https://github.com/matrix-org/matrix-appservice-rocketchat).",2016-07-29-matrix-appservice-rocketchat.md,,,
Matrixcraft bridge,paftree,https://github.com/paftree/matrixcraft-bridge,as,,Python 2 application using Twisted that bridges the Matrix chat network with the Gitter system.,Alpha,,Python,MIT,,,"Some Python code for plumbing together a Matrix room and a Minecraft server chat

https://github.com/paftree/matrixcraft-bridge",2017-05-02-matrixcraft-bridge.md,,,
libqmatrixclient,QMatrixClient team,https://github.com/QMatrixClient/libqmatrixclient,sdk,,libqmatrixclient is a Qt-based library to make IM clients for the Matrix protocol.,Beta,,C++/Qt,LGPL2.1,,,"libqmatrixclient is a Qt-based library to make IM clients for the Matrix protocol. [Quaternion](https://matrix.org/docs/projects/client/quaternion.html) is a reference client using its features; together with the library they form the [QMatrixClient](https://github.com/QMatrixClient) project. Recent builds of [Tensor](https://matrix.org/docs/projects/client/tensor.html) are made on top of this SDK; another notable client using it is [uMatriks](https://github.com/LarreaMikel/uMatriks).

The project lives in QMatrixClient [GitHub space](https://github.com/QMatrixClient/libqmatrixclient).",2016-04-05-libqmatrixclient.md,,,
NaChat,Ralith,https://github.com/Ralith/nachat,client,/docs/projects/images/nachat005-150.jpg,Desktop Qt client,Alpha,,C++/Qt,Apache,,,A Matrix desktop client written in C++ and Qt - source at [github](https://github.com/Ralith/nachat).,2016-07-03-nachat.md,/docs/projects/images/nachat005.jpg,,
matrix-appservice-gitter-twisted,Remi Rampin,https://github.com/remram44/matrix-appservice-gitter-twisted/,as,,Python 2 application using Twisted that bridges the Matrix chat network with Gitter.,Alpha,,Python,BSD,,,"This is a Python 2 application using Twisted that bridges the Matrix chat network with the Gitter system.

This is supposed to be deployed as a Matrix application service alongside a homeserver. It allows users to log in to their personal Gitter accounts and chat in Gitter rooms via their Matrix client.

Contrary to other bridges, this doesn't link a public Matrix room with a Gitter one. You won't be able to join a Gitter room without a Gitter account. On the other hand, Gitter users won't see the difference between a Matrix user and a normal Gitter user, since they will appear to be chatting natively.

Find it on [GitHub](https://github.com/remram44/matrix-appservice-gitter-twisted/).",2016-08-10-matrix-appservice-gitter-twisted.md,,,
Synapse HDD space calculator,Rick Cogley,,other,,Hard Disk Space Capacity Calculation for Matrix.org Synapse Homeserver,Early Beta,,,,,,"A handy spreadsheet to help calculate how much disc space you need for your Synapse instance.

You can copy it from [Google Docs](https://docs.google.com/spreadsheets/d/1clrE4WFT7A5NS5AJUdU-mbDZ9rS9fzl6QEbUFJezo7U/edit#gid=0)",2016-06-30-hdd-space-calc-for-synapse.md,,,
Matrex,Ryan Johnson,https://github.com/bismark/matrex,server,,A WIP toy Matrix server implementation in Elixir.,Alpha,,Elixir,MIT,,,A WIP toy Matrix server implementation in Elixir. Find it on [GitHub](https://github.com/bismark/matrex).,2016-11-12-matrex.md,,,
Polynomial,Ryan Rix,https://fort.kickass.systems/git/rrix/polynomial,other,,A Decentralized Webring,Early Beta,,,,Yes,,"Webring software built on top of Matrix.org which means it doesn't have a central point of failure.

Check it out at [Ryan's blog](http://whatthefuck.computer/blog/2015/12/06/polynomial-a-decentralized-webring/) and grab the code from [Ryan's git repo](https://fort.kickass.systems/git/rrix/polynomial)",2016-02-03-polynomial.md,,,
Nervewire,Ryan Rix,,other,,A Matrix.org image deck,Early Beta,,,,,,"Nervewire collects images from a specified room, and dumps them on to a page so that they can be used for external purposes (perhaps as a screensaver or wallpaper). More information at [Ryan's blog](http://notes.whatthefuck.computer/1465799340.0-note.html), code at [Ryan's cgit](http://fort.kickass.systems:10082/cgit/personal/rrix/pub/nervewire.git/).",2016-08-11-nervewire.md,,,
matrix-pushgw,Sergio L. Pascual,https://github.com/slp/matrix-pushgw,other,,A custom push gateway,Alpha,,Go,,,,"matrix-pushgw is a custom push gateway for Matrix, written in Go.

Get the source from [GitHub](https://github.com/slp/matrix-pushgw).",2016-11-27-matrix-pushgw.md,,,
synapse-diaspora-auth,Shamil K Muhammed,https://git.fosscommunity.in/necessary129/synapse-diaspora-auth,other,,A diaspora authenticator for synapse,Stable,,Python,GPL3,,,"A diaspora authenticator for matrix synapse.

https://git.fosscommunity.in/necessary129/synapse-diaspora-auth",2017-05-02-synapse-diaspora-auth.md,,,
python-matrix-bot-api,Shawn Anastasio,https://github.com/shawnanastasio/python-matrix-bot-api/,other,,A Python API for making Matrix bots,Early Beta,,Python,GPL3,,,"A Python API for making Matrix bots.

Requires [matrix-python-sdk](https://github.com/matrix-org/matrix-python-sdk).

The project lives on [GitHub](https://github.com/shawnanastasio/python-matrix-bot-api/)",2017-02-17-python-matrix-bot-api.md,,,
matrix-pollbot,Shawn Anastasio,https://github.com/shawnanastasio/matrix-pollbot,bot,,A bot for creating polls,Early Beta,,Python,GPL3,,,"Pollbot is a Matrix bot written using [python-matrix-bot-api](https://github.com/shawnanastasio/python-matrix-bot-api/) that allows you to create polls that can be voted on by members of a room.

The project lives on [GitHub](https://github.com/shawnanastasio/matrix-pollbot).",2017-05-18-matrix-pollbot.md,,,
telematrix,SijmenSchoon,,as,,This project bridges Telegram to Matrix.,Alpha,,,,,,"This project bridges [Telegram Messenger](https://telegram.org/) to Matrix. It's currently in early development, and not considered to be in a usable state yet.

Get it and report issues at [github](https://github.com/SijmenSchoon/telematrix)!",2016-09-13-telematrix.md,,,
Matrix Blog,simeng,,client,,Read-only blog-style Matrix interface,Alpha,,,,,,An example read-only blog-style interface to a Matrix room ([github](https://github.com/simeng/matrix-blog)).,2016-02-08-h4x.no-blog.md,,,
Headjack,SkaveRat,,client,https://matrix.org/blog/wp-content/uploads/2015/05/headjack-400x284.png,Experimental Chrome App client,Alpha,,JavaScript,Apache,"Failed, no response",,"Experimental Chrome App desktop client for Matrix, using [matrix-angular-sdk](https://github.com/matrix-org/matrix-angular-sdk). Available from [github](https://github.com/SkaveRat/headjack).",2016-02-05-headjack.md,https://matrix.org/blog/wp-content/uploads/2015/05/headjack.png,,
Freebird,tjgillies,,other,,Matrix based Twitter clone,Alpha,,,,,,"Matrix based Twitter clone. Try it [here](http://freebird.tyler.cat/)!

The code can be found on [GitHub](https://github.com/tjgillies/freebird/).",2016-10-12-freebird.md,,,
matrix-email-bot,Travis Ralston,https://github.com/turt2live/matrix-email-bot,bot,,Posts links to emails in Matrix rooms. Ideal for newsletter distribution.,Early Beta,,JavaScript,GPL3,,,"This is a matrix bot that can receive email and post it to a given room. Intended for newsletters, this is a great bot to reach all of your audiences. 

The source, and more information can be found on [GitHub](https://github.com/turt2live/matrix-email-bot). Try it out on [t2bot.io](https://t2bot.io/emailbot).",2016-12-17-matrix-email-bot.md,,,
rocket-sheep,ENTS,https://github.com/ENTS-Source/rocket-sheep,bot,,A bot to connect makerspaces with their members,Stable,,JavaScript,GPL3,,,"Rocket Sheep is a purpose-built matrix bot intended for makerspaces/hackerspaces. It has a long list of features planned, but here are some of ones available today:
* Announcements when someone enters the building
* Querying of IP cameras by using Blue Iris
* Interacting with Honeywell thermostats to show the current temperature in the space

The source, and more information, can be found on [GitHub](https://github.com/ENTS-Source/rocket-sheep). Pop by [#ents:tang.ents.ca](https://matrix.to/#/#ents:tang.ents.ca) with any questions.",2017-01-29-rocket-sheep.md,,,
matrix-appservice-minecraft,Travis Ralston,https://github.com/turt2live/matrix-appservice-minecraft,as,,Bridges Minecraft server chat to and from Matrix,Early Alpha,,JavaScript,GPL3,,,"This is a Node.js application that bridges Minecraft chat with Matrix. The project is still in early development and is not intended for production use (yet).

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-appservice-minecraft).",2017-02-02-matrix-appservice-minecraft.md,,,
matrix-appservice-instagram,Travis Ralston,,as,,Bridges Instagram to Matrix,Alpha,,,,,,"matrix-appservice-instagram bridges Instagram media to Matrix rooms. Due to limitations with Instagram, it cannot handle direct messages and requires authorization in order to post media to a room. Useful for brands looking to populate their rooms with their Instagram posts.

The source (and more information) can be found on [GitHub](https://github.com/turt2live/matrix-appservice-instagram).",2017-02-23-matrix-appservice-instagram.md,,Y,
matrix-embedded-federation,Travis Ralston,,other,,A lightweight homeserver SDK intended for enhanced bridging,Alpha,,,,,,"matrix-embedded-federation is a work in progress Java library that will provide in-code interfaces for clients to reach out to the greater matrix ecosystem. Currently being baked into [matrix-minecraft-plugin](https://github.com/turt2live/matrix-minecraft-plugin) for a better player experience.

The source (and more information) can be found on [GitHub](https://github.com/turt2live/matrix-embedded-federation).",2017-03-18-matrix-embedded-federation.md,,Y,
matrix-voyager-bot,Travis Ralston,https://github.com/turt2live/matrix-voyager-bot,bot,,Maps the Matrix network as it discovers rooms,Beta,,JavaScript,GPL3,,,"Voyager is a bot that travels the network by looking for rooms it can join. When the bot sees a message with a room alias, it will try to join the room to gather more links to rooms.

Check out [the current graph](https://voyager.t2bot.io), or ask questions in [#voyager:t2l.io](https://matrix.to/#/#voyager:t2l.io). Voyager is not meant to be an intrusive bot, and is more than happy to automatically de-list a room when kicked or banned.

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-voyager-bot).",2017-03-19-matrix-voyager-bot.md,,,
Dimension,Travis Ralston,https://github.com/turt2live/matrix-dimension,other,,An alternative integrations manager for matrix clients,Alpha,,TypeScript,GPL3,,,"The integrations manager is what is responsible for giving users a way to add bridges, bots, and widgets to their rooms and account. Dimension can be self-hosted for private deployments or for those looking to replace the manager that comes with their client.

Learn more about Dimension on [GitHub](https://github.com/turt2live/matrix-dimension) or on the [project site](https://dimension.t2bot.io/).",2017-05-25-matrix-dimension.md,,,
matrix-topic-bot,Travis Ralston,,bot,,A simple bot that provides dynamic topics,Stable,,,,,,"[@topic:t2bot.io](https://matrix.to/#/@topic:t2bot.io) is a simple bot that updates your room topic based on some conditions. Useful for rooms that have membership counts or dynamic topics.

The source (and more information) can be found on [GitHub](https://github.com/turt2live/matrix-topic-bot).",2017-06-27-matrix-topic-bot.md,,Y,
Matrix Wishlist,Travis Ralston,https://github.com/turt2live/matrix-wishlist,other,,"A github repository tracking community requests for bridges, bots, and more.",Stable,,,,,,"Check out the [Github issue list](https://github.com/turt2live/matrix-wishlist/issues) for a list of currently-requested bridges, bots, tools, sdks, clients, and other ecosystem components. If you're looking to jump into developing something for matrix, this is a good place to get ideas.

Feel free to come by [#wishlist:t2bot.io](https://matrix.to/#/#wishlist:t2bot.io) to ask questions or discuss ideas.",2017-07-03-matrix-wishlist.md,,,
matrix-appservice-webhooks,Travis Ralston,https://github.com/turt2live/matrix-appservice-webhooks,as,,Slack-compatible webhooks for Matrix,Beta,,JavaScript,GPL3,,,"Through exposing a small web server, the webhooks bridge is able to interpret Slack webhooks and post them to designated rooms in Matrix. Additional fields are present for a more matrix-feeling message, if desired. Future plans include outgoing webhooks to notify external services of particular events in rooms.

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-appservice-webhooks). Try it out on [t2bot.io](https://t2bot.io/webhooks).",2017-07-08-matrix-appservice-webhooks.md,,,
matrix-appservice-twilio,Travis Ralston,https://github.com/turt2live/matrix-appservice-twilio,as,,Bridges Twilio (SMS) to Matrix,Alpha,,JavaScript,GPL3,,,"The Twilio bridge is a work in progress that allows you to bridge SMS/MMS messages to Matrix. Eventual plans include briding phone calls and other media types.

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-appservice-twilio).",2017-08-18-matrix-appservice-twilio.md,,,
matrix-media-repo,Travis Ralston,https://github.com/turt2live/matrix-media-repo,other,,A replacement media repository for your homeserver,Late Beta,,Go,MIT,,,"Intended for multi-homeserver environments (ie: homeserver hosting providers), matrix-media-repo deduplicates media from all servers, saving disk space when someone uploads the same cat picture to every room they can find. Multiple homeservers are handled by telling the media repo that it is the authority for media for a list of domains.

People running single homeservers can still reap the benefits of matrix-media-repo thanks to it's deduplication approach. It deduplicates local media as well as any remote media that happens to get downloaded, saving you even more disk space if you happen to re-upload a file you downloaded from another homeserver.

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-media-repo).",2017-11-10-matrix-media-repo.md,,,
matrix-appservice-iot-proxy,Travis Ralston,https://github.com/turt2live/matrix-appservice-iot-proxy,other,,A proxy for the client/server API to make IoT virtual devices easier,Beta,,Go,MIT,,,"Heavily inspired by the work done by Intents in the matrix-appservice-bridge JS library, matrix-appservice-iot-proxy is a server-side application which ensures that virtual users are created and joined to the applicable rooms for each request.

This makes your IoT device code as simple as posting to a room without having to worry about the user being registered by the appservice or even being in the room. This is fully intended to have some sort of appservice powering a fleet of IoT devices such that each device is part of a given namespace.

The source, and more information, can be found on [GitHub](https://github.com/turt2live/matrix-appservice-iot-proxy).",2018-03-02-matrix-appservice-iot-proxy.md,,,
mautrix-appservice-go,Tulir,https://github.com/tulir/mautrix-appservice-go,as,,An application service framework written in Go,Alpha,,Go,MIT,,,mautrix-appservice-go is an application service framework written in Go.,2017-06-27-mautrix-appservice-go.md,,,
Maunium GitLab Bot,Tulir,https://github.com/maubot/gitlab,bot,,A GitLab bot for Matrix,Alpha,,Go,AGPL3,,,"Maunium GitLab Bot is a bot written in Go.
It allows you to interact with GitLab from Matrix and receive notifications
from GitLab webhooks (issues, merge requests, pushes, etc..).

You can use the publicly hosted instance on [t2bot.io](https://t2bot.io/gitlab),
or check out the project on [GitHub]({{ page.repo }})",2017-09-29-maulabbot.md,,,
mautrix-telegram,Tulir,https://github.com/tulir/mautrix-telegram,as,,A Matrix-Telegram hybrid puppeting/relaybot bridge,Beta,,Python,AGPL3,,,A Matrix-Telegram hybrid puppeting/relaybot bridge. Written in Python using [Telethon](https://github.com/LonamiWebs/Telethon).,2017-11-28-mautrix-telegram.md,/docs/projects/images/mautrix-telegram.png,,
gomuks,Tulir,https://github.com/tulir/gomuks,client,/docs/projects/images/gomuks-thumbnail.png,A terminal Matrix client written in Go,Alpha,,Go,GPL3,"Yes, Tulir",,gomuks is a terminal-based Matrix client written in Go with [gomatrix](https://github.com/matrix-org/gomatrix) and [tview](https://github.com/rivo/tview).,2018-03-15-gomuks.md,/docs/projects/images/gomuks.png,,
godot-matrix,vurpo,,sdk,,Godot Engine module for Matrix client,Alpha,,,,,,"Module for [Godot Engine](https://godotengine.org) that lets you easily integrate a Matrix client into a game developed using Godot (for example for in-game chat, matchmaking, lobbies, or something else entirely). [Source](https://gitlab.com/vurpo/godot-matrix)",2017-09-13-godot-matrix.md,,,
Koma,wilpeters,https://github.com/koma-im/koma,client,/docs/projects/images/koma-preview-thumbnail.png,A modern client designed to launch fast and help you find information in large amounts of messages,Alpha,,Kotlin,GPL3,,,"An instant messaging application written specifically for the matrix protocol to take advantage of its modern features. Designed to be lightweight but not dependent on fast Internet: the state is stored locally so you don't have to wait every time you open it. Highly versatile notification options keep you informed without getting distracted.
While it's still in early stages and far from feature-complete, the chat window has taken shape, feel free to try it out and give us feedback and feature requests.
The project is hosted on [github](https://github.com/koma-im/koma).",2017-06-20-koma-im.md,/docs/projects/images/koma-preview.png,,
Ruma,Jimmy Cuadra,,server,,Ruma is a server written in Rust.,Alpha,,Rust,,,,Ruma is a server written in Rust ([github](https://github.com/ruma/ruma)),2015-11-29-ruma.md,,,
Perpetually Talking Online (PTO),tdfischer,https://github.com/tdfischer/pto,client,,PTO is an IRC frontend to the federated Matrix network.,No longer maintained,,Rust,Apache,,,"Perpetually Talking Online (PTO) is an IRC frontend to the federated Matrix network. It aims to enable as many people as possible to use an existing Matrix homeserver with their existing IRC clients, and provides a radically expanded feature set for existing IRC communities looking to migrate to Matrix.

See [pto.im](http://pto.im) for more info - or grab the code from [GitHub](https://github.com/tdfischer/pto).

Unfortunately, it appears that this project is no longer being worked on. Check out [matrix-ircd](./matrix-ircd.html) instead!",2015-12-10-pto.md,,,
matrix-appservice-sms,eeeeeta,https://github.com/eeeeeta/matrix-appservice-sms,as,,Single-user Matrix.org Application Service (AS) to bridge SMSes to the Matrix network!,Alpha,,Rust,GPL3,,,"This is a Matrix.org Application Service (AS) that bridges SMS messages to Matrix, using a USB 3G modem plugged into a server. Crucially, it only works for one user - obviously, if you only have one 3G modem, it doesn't really make sense to support more than one user...",2018-04-24-matrix-appservice-sms.md,,,
matrix-monitor-bot,Travis Ralston,https://github.com/turt2live/matrix-monitor-bot,bot,,A bot to measure latency between homeservers.,Alpha,,Go,Apache,,,"#monitorbot:t2bot.io is a bot to measure latency between homeservers (as perceived by users).

It’s able to report metrics to Prometheus and has it’s own built-in dashboard (see <https://lag.t2bot.io/> for some horrendous times). In the coming weeks it’ll become more production-ready, however in the meantime if people are looking to help iron out the scalability issues, please run an instance on your homeserver.",2018-04-24-matrix-monitor-bot.md,,,
uMatriks,uMatriks team,https://github.com/uMatriks/uMatriks,client,,uMatriks is a native matrix client being developed for Ubuntu Touch,Beta,,C++/Qt/QML,GPL3,,,"uMatriks is a native matrix client being developed for Ubuntu Touch.

Built on libqmatrixclient.",2018-04-24-uMatriks.md,,,
matrix-puppet-maxs,,https://github.com/tfreedman/matrix-puppet-maxs,,,,,,,,,,,,,,
matrix-register-bot,,https://github.com/krombel/matrix-register-bot,,,,,,,,,,,,,,
picard,Cadair and SolarDrew,https://github.com/SolarDrew/skill-picard,other,,Tools for handling slack channels and converting them to matrix,Alpha,,Python,,,,"This opsdroid skill enables the bridging of a slack team to a matrix communtiy. It uses the
[slack appservice](https://github.com/matrix-org/matrix-appservice-slack) to
bridge individual rooms, but it monitors slack for new channels and creates
rooms on matrix for these new channels and then configures the appservice to
bridge them. It also will add these rooms to a matrix communtiy.

Why is this called Picard? He commands the bridge!",2018-04-24-picard.md,,,
opsdroid connector,opsdroid,https://github.com/opsdroid/connector-matrix,bot,,A connector for opsdroid to receive and respond to messages,Beta,,Python,Apache,,,A connector for [opsdroid](https://github.com/opsdroid/opsdroid) to receive and respond to messages,2018-04-24-opsdroid-connector.md,,,
matrix-python-sdk,,https://github.com/matrix-org/matrix-python-sdk,,,,,,,,,,,,,,
matrix-twitch-bridge,,https://github.com/Nordgedanken/matrix-twitch-bridge,,,,,,,,,,,,,,
IdleRPG,,https://github.com/FabricLabs/doorman,,,,,,,,,,,,,,
URI protocol scheme,,,,,,,,,,,,,,,,
Quaternion,QMatrixClient team,https://github.com/QMatrixClient/Quaternion,client,https://raw.githubusercontent.com/QMatrixClient/Quaternion/master/quaternion.png,A Qt5-based IM client for the Matrix protocol,Beta,,C++/Qt,GPL3,"Yes, it's kitsune",,"Quaternion is a cross-platform Qt5-based desktop IM client for Matrix, a reference desktop application using [libqmatrixclient SDK](https://matrix.org/docs/projects/sdk/libqmatrixclient.html). Source code, issue tracker, roadmap etc. can be found at [GitHub](https://github.com/QMatrixClient/Quaternion). The latest release (with links to cross-platform source code archives, as well as archived binaries for Windows) can be found at the [GitHub Releases page](https://github.com/QMatrixClient/Quaternion/releases/latest).

Most of talking around Quaternion happens in our Matrix room: [#quaternion:matrix.org](https://matrix.to/#/#quaternion:matrix.org). Welcome, and have fun!",2015-06-27-quaternion.md,https://raw.githubusercontent.com/QMatrixClient/Quaternion/master/quaternion.png,,#quaternion:matrix.org
Matrix.org AngularJS SDK,Matrix.org team,https://github.com/matrix-org/matrix-angular-sdk,sdk,,AngularJS SDK is deprecated.,No longer maintained,,JavaScript,Apache,,,"AngularJS services from Matrix.org for building communication apps in Angular based on Matrix: [https://github.com/matrix-org/matrix-angular-sdk](https://github.com/matrix-org/matrix-angular-sdk)

These are no longer being actively maintained.",2014-11-04-matrix.org-angularjs-sdk.md,,,
Dendron,Matrix.org team,https://github.com/matrix-org/dendron,server,,"Discontinued in favour of Dendrite (""Dendron, done right"")",No longer maintained,,Go,,,,"Dendron was the start of an experimental Matrix homeserver written in Go, built as a 'strangler pattern' implementation on top of Synapse.  It was discontinued in favour of Dendrite.

The code lives on at [github](https://github.com/matrix-org/dendron)!",2016-01-13-dendron.md,,,
Lightrix,Ryan Rix,,other,,Drive Adafruit Neopixels over Matrix,Beta,,,,,,"Control Adafruit Neopixels via Matrix!

Check it out from [Ryan's git repo](https://fort.kickass.systems/git/rrix/lightrix) or watch it in action on [YouTube](https://www.youtube.com/watch?v=4YG9Fk5aP24)",2016-02-03-lightrix.md,,,
mcat,Ryan Rix,,other,,Pipe to/from a Matrix room via the Python SDK,Beta,,,,,,"Pipe in to and out of a Matrix room using the [Matrix Python SDK](https://github.com/matrix-org/matrix-python-sdk).

Check it out from [Ryan's git repo](https://fort.kickass.systems/git/rrix/matrix-cat)",2016-02-03-mcat.md,,,
feedbot,Ryan Rix,,bot,,Connects to RSS and Twitter feeds,Early Beta,,,,,,"Connect to RSS and Twitter feeds via Ryan Rix's feedbot!

Check it out from [Ryan's git repo](https://fort.kickass.systems/git/rrix/matrix-feedbot)",2016-02-03-feedbot.md,,,
NEB (N. E. Bot),Kegsay,https://github.com/matrix-org/Matrix-NEB,bot,,Our dear Matrix Bot (v1),Late Beta,,Python,Apache,,,Kegsay's general-purpose Python Matrix Bot framework ([github](https://github.com/Kegsay/Matrix-NEB)),2014-09-10-neb.md,,,
