Name,author,Repo,type,thumb,description,maturity,Home,language,license,Contacted?,Note,JekyllContent,Filename,Screenshot,Removed,Room
Synapse,Matrix.org team,https://github.com/matrix-org/synapse/,server,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-29-at-00.28.25-400x284.png,Matrix.org homeserver,Beta,,Python,Apache,,,"Matrix.org’s reference server – Synapse: [https://github.com/matrix-org/synapse](https://github.com/matrix-org/synapse)

Apt repo: [https://matrix.org/packages/debian/](https://matrix.org/packages/debian/)

Dockerfile from Silvio Fricke and AVENTER: [https://hub.docker.com/r/avhost/docker-matrix/](https://hub.docker.com/r/avhost/docker-matrix/)

ArchLinux package from Ivan Shapovalov: [https://www.archlinux.org/packages/community/any/matrix-synapse/](https://www.archlinux.org/packages/community/any/matrix-synapse/)

There is a FreeBSD package on [freshports.org](http://www.freshports.org/net/py-matrix-synapse/).

Martin Giess has created an auto-deployment process with vagrant/ansible, tested with VirtualBox/AWS/DigitalOcean – see [https://github.com/EMnify/matrix-synapse-auto-deploy](https://github.com/EMnify/matrix-synapse-auto-deploy) for details.

Synapse is also on the [Open Build Service](https://obs.infoserver.lv/project/show/matrix-synapse).

Synapse is available for the [Nix package manager](https://github.com/NixOS/nixpkgs/blob/master/nixos/modules/services/misc/matrix-synapse.nix).

You can get Synapse on [Yunohost](https://github.com/YunoHost-Apps/synapse_ynh)

There is also a [handy spreadsheet](http://matrix.org/docs/projects/other/hdd-space-calc-for-synapse.html) to calculate HDD space for your Synapse instance.",2014-08-12-synapse.md,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-29-at-00.28.25-1080x579.png,,
node-purple,Matrix.org team / tjfontaine,https://github.com/tjfontaine/node-purple,as,,Basic FFI bindings for libpurple,Early Beta,,JavaScript,MIT,,,"[node-purple](https://github.com/tjfontaine/node-purple) provides basic FFI bindings for libpurple. In our fork, [appservice](https://github.com/matrix-org/node-purple/tree/master/appservice) connects node-purple to the AS API, so you can talk from Matrix to libpurple's connections.",2015-10-06-node-purple.md,,,
WeeChat script,Tor,https://github.com/torhve/weechat-matrix-protocol-script,client,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-22-at-21.43.01-400x284.png,"For fans of command line interfaces, a nice Matrix script for WeeChat, an IRSSI like CLI",Late Beta,,Lua,MIT,,,"[WeeChat](http://weechat.org/) is a super powerful CLI chat client that is extensible in many languages to allow for new protocols like Matrix. @torhve contributed this great WeeChat script for Matrix which is getting a good feedback from more geeky users.

To use it, you will need to sign up for a Matrix account on a server using the [Console Web](./matrix-console.html) or [Vector](./vector.html) clients, as WeeChat doesn’t support registration yet.

To run it, grab the code from [@torhve's github repo](https://github.com/torhve/weechat-matrix-protocol-script).",2015-02-26-weechat.md,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-22-at-21.43.01.png,,
Glowing Bear + WeeChat Script,glowing-bear.org,,client,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-21-at-17.36.43-400x284.png,A great IRC-style web interface to Matrix.,Late Beta,,,,,,[Glowing Bear](http://glowing-bear.org/) combined with [@torhve’s Matrix script for WeeChat](./weechat.html) makes for a great IRC-style web interface to Matrix.,2016-01-05-glowing-bear-and-weechat-plugin.md,https://matrix.org/blog/wp-content/uploads/2015/04/Screen-Shot-2015-04-21-at-17.36.43-1080x581.png,,
silvy-matrix,jaller94,https://github.com/jaller94/silvy-matrix,bot,,A personal chatbot,Beta,,JavaScript,AGPL3,,,"Silvy is a personal chatbot and most modules are specifically written for (the author.)

Her features include:

* manages / calculates TOTP 2-Factor Authentication codes,
* OpenStreetMap change notifications,
* an advent calendar,
* posting stickers (since Matrix.org doesn’t support our stickers) and
* anniversary reminder.",2018-04-24-silvy-matrix.md,,,
matrix-appservice-prosody,uhoreg,https://gitlab.com/uhoreg/matrix-appservice-prosody,as,,Prosody module to act as a Matrix Application Service,Alpha,,Lua,,,,"Prosody module to act as a Matrix Application Service.  This module allows XMPP
users to join Matrix rooms as if they were MUC rooms, unlike most Matrix
bridges that allow Matrix users to join rooms from other networks.  I did this
direction since it seemed easier, and I was mostly interested in seeing how
well the idea worked.",2018-04-24-matrix-appservice-prosody.md,,,
Trinity,Amin Husni,https://github.com/aminhusni/Trinity_Matrix_Management_GUI,other,,A management GUI for Matrix-Synapse server,Beta,,C#,AGPL3,,,"A management GUI for Matrix-Synapse server

* Get whois on user
* Deactivate an account
* Reset password
* Create new user(this is using the old API. Same API used as if you create a user via SSH terminal)
* Query rooms(publicly listed rooms only)
* Purge room
* View supported API versions",2017-11-23-Trinity.md,/docs/projects/images/trinity.png,,
Tensor,David A Roberts,https://github.com/davidar/tensor,client,https://matrix.org/blog/wp-content/uploads/2015/11/tensor1-400x284.png,QML-based Matrix client,Alpha,,C++/QML,GPL3,,,"Tensor is a cross-platform native Matrix client, based on QtQuick/QML and libqmatrixclient (previous versions used matrix-js-sdk). It has been tested on Desktop GNU/Linux, OS X, Windows, Android, SailfishOS and Ubuntu Touch. Get it from [github](https://github.com/davidar/tensor).",2015-06-26-tensor.md,https://matrix.org/blog/wp-content/uploads/2015/11/tensor1.png,,
Mage.matrix-stack,Vaizard,https://github.com/Vaizard/mage-matrix-stack,other,,Mage is a set of Ansible roles are constructed around LXD containers and Ubuntu,Beta,,,N/A,,,"Mage is a set of Ansible roles are constructed around LXD containers and Ubuntu. Mage may support other Guest-OS distros on a nice-to-have basis in the following order: Gentoo (because its cool), Debian (because its easy to migrate to), CentOS/Rhel (because Ansilbe is cool). No other distribution support is planned.

The matrix container sports the mage.matrix-stack role consisting of:

* matrix-synapse (matrix server listening on ports 8448 and 8008)
* riot-web (glossy web client / frontend to the matrix-synapse server - static webapp written in js)
* coturn (turn server listening on ports 3478, 3479)
* postgres (storage for matrix-synapse)
* nginx (serving riot-web, listening on port 80)

and expects a proxy/loadbalancer sitting infront of it (this is provided by the container below)",2018-04-24-Mage.matrix-stack.md,,,
jira-to-matrix,Mobitel Ltd,https://github.com/mobitel-ltd/jira-to-matrix,bot,,A bot which listens to JIRA Webhooks and sends stuff between Matrix and Jira.,Beta,,JavaScript,,,,"A bot (web-service) which:

* listens to JIRA Webhooks and sends some stuff to Matrix;
* use command from Matrix Riot to integrate with Jira and make different actions.

Features
+ Creates a room for every new issue;
+ Invites new participants to the room;
+ Posts any issue updates to the room;
+ Appropriately renames the room if the issue was moved to another project;
+ Post new links to related rooms. Notifies when a related issue's status changes;
+ Talks in English or Russian only (easily extendible, see `src/locales`).",2018-04-24-jira-to-matrix.md,,,
matrix-java,tavoda,https://github.com/tavoda/matrix-java,client,,A Java client for Matrix,Alpha,,Java,,,,Purpose of this project is develop Java client for Matrix server (tested agains SYNAPSE). As side effect I would like to improve matrix-doc swagger specification now available in my forked repository (https://github.com/tavoda/matrix-doc),2018-04-24-matrix-java.md,,,
evelium,Travis Ralston,https://github.com/turt2live/evelium,client,,"A matrix chat client to facilitate communication amoung communities, organizations, and individuals",Beta,https://evelium.io,TypeScript,GPL3,,,"A matrix chat client to facilitate communication amoung communities, organizations, and individuals",,,,
go-avbot,AVENTER,https://github.com/AVENTER-UG/go-avbot,bot,,"The AVENTER bot, based on go-neb",Alpha,,Go,GPL3,,,"AVBOT is our digital working partner. He is helping us with our daily business. From creating and sending out invoices to install server applications. AVBOT is based on go-neb, a matrix BOT developed in golang.",2018-04-24-go-avbot.md,,,
Nebuchadnezzar,MartijnBraam,https://github.com/MartijnBraam/Nebuchadnezzar,client,,Linux native chat client (GTK2),Alpha,,C#,,,,"Linux native chat client (GTK2) for the matrix network

Features

- [x] Logging in
- [x] Loading avatars
- [x] Receiving plain-text messages
- [x] Receiving image messages
- [ ] Receiving files
- [ ] Sending plain-text messages
- [ ] Sending images
- [ ] Sending files
- [ ] Support encrypted chatrooms",2018-04-24-Nebuchadnezzar.md,,,
synapse-appservice-docker,aidalgol,https://github.com/aidalgol/synapse-appservice-docker,other,,Docker Compose setup for development of Synapse and Matrix appservices,Beta,,Shell,,,,This is a Docker Compose setup for development of Synapse and Matrix appservices.,2018-04-24-synapse-appservice-docker.md,,,
kacki,synopia,https://github.com/synopia/kacki,client,,"Simple chatbot for matrix.org, inspired by rbot.",Alpha,,Kotlin,,,,"Simple chatbot for [matrix.org](https://matrix.org/]), inspired by [rbot](https://github.com/ruby-rbot/rbot).

Uses the matrix rest API to communicate with server, kotlin coroutines.

Project contains some experimental code using [deeplearning4j](https://github.com/deeplearning4j).",2018-04-24-kacki.md,,,
mxhsd,Max Dor,https://github.com/kamax-io/mxhsd,server,,mxhsd is Matrix Homeserver aimed towards entities who want to have in-depth control of their servers,Early Beta,,Java,,,,"mxhsd wants to provide a Matrix Homeserver implementation with the expected level of admin, control and auditing corporations would expect, where every action performed by a user can be controlled by an ACL.

mxhsd wants to be as extensible as possible, relying on a module framework, so anyone can manage every detail of its server(s).",2018-04-24-mxhsd.md,,,
matrix-docker-ansible-deploy,spantaleev,https://github.com/spantaleev/matrix-docker-ansible-deploy,other,,Matrix server setup using Ansible and Docker,Beta,,Shell,,,,"This Ansible playbook is meant to easily let you run your own [Matrix](http://matrix.org/) homeserver.

That is, it lets you join the Matrix network with your own `@<username>:<your-domain>` identifier, all hosted on your own server.

Using this playbook, you can get the following services configured on your server:

- a [Matrix Synapse](https://github.com/matrix-org/synapse) homeserver - storing your data and managing your presence in the [Matrix](http://matrix.org/) network

- (optional) [Amazon S3](https://aws.amazon.com/s3/) storage for your Matrix Synapse's content repository (`media_store`) files using [Goofys](https://github.com/kahing/goofys)

- (optional default) [PostgreSQL](https://www.postgresql.org/) database for Matrix Synapse - providing better performance than the default [SQLite](https://sqlite.org/) database. Using an external PostgreSQL server [is possible](#using-an-external-postgresql-server-optional) as well

- a [STUN/TURN server](https://github.com/coturn/coturn) for WebRTC audio/video calls

- (optional default) a [Riot](https://riot.im/) web UI, which is configured to connect to your own Matrix Synapse server by default

- free [Let's Encrypt](https://letsencrypt.org/) SSL certificate, which secures the connection to the Synapse server and the Riot web UI

- (optional default) an [nginx](http://nginx.org/) web server, listening on ports 80 and 443 - standing in front of all the other services. Using your own webserver [is possible](#using-your-own-webserver-instead-of-this-playbooks-nginx-proxy-optional)

Basically, this playbook aims to get you up-and-running with all the basic necessities around Matrix, without you having to do anything else.",2018-04-24-matrix-docker-ansible-deploy.md,,,
xonotic,TimePath,https://gitlab.com/xonotic,client,,In-game chat,Beta,,,,,,,2018-04-24-xonotic.md,,,
matrix-olm-cpp,ajberchek,https://github.com/ajberchek/matrix-olm-cpp,other,,"Provides a C++ wrapper for the libolm library, used in Matrix's end-to-end encryption",Beta,,C++,,,,"This repo provides a C++ wrapper for the library, [libolm](https://git.matrix.org/git/olm/), used in Matrix's end-to-end encryption.",2018-04-24-matrix-olm-cpp.md,,,
matrixmon,leonerd,https://github.com/matrix-org/matrixmon,other,,A small end-to-end prober and Prometheus stats exporter for a Matrix homeserver,Beta,,Perl,,,,A small end-to-end prober and Prometheus stats exporter for a Matrix homeserver,2018-04-24-matrixmon.md,,,
matrix-redux-wrap,Luke Barnard,https://github.com/lukebarnard1/matrix-redux-wrap,sdk,,A library that exposes matrix-js-sdk state via Redux,Stable,,JavaScript,Apache,,,Matrix Redux Wrap was motivated by the need to expose the Matrix protocol via a Redux store. The matrix-js-sdk API does not expose a Redux-like pattern through which data flows but rather a number of asyncronous HTTP-request wrappers and a number of models that encapsulate the objects within the Matrix protocol. These models are updated by a mixture of server responses and API calls and do not necessarily lend themselves to simple mental models or the ability to be incorporated into frameworks such as Flux and Redux.,2018-04-24-matrix-redux-wrap.md,,,
palaver,MrCustomizer,https://github.com/MrCustomizer/palaver,client,,Palaver is a chat client for Matrix written in Kotlin.,Alpha,,Kotlin,GPL3,,,"Palaver is a chat client for Matrix written in Kotlin.

The project is currently in early Alpha status. Basic chatting is possible, but a lot of important features are missing.",2018-04-24-palaver.md,,,
matrix-client-legacy-el,jgkamat,https://github.com/jgkamat/matrix-client-legacy-el,client,,An attempt to maintain the legacy matrix-client.el a little bit longer,Alpha,,Lisp,GPL3,,,"This is a fork of the [[https://home.rix.si/git/rrix/matrix-client][original matrix.el client]], to attempt to resurrect it.",2018-04-24-matrix-client-legacy-el.md,,,
matrix-synapse-docker,ananace,https://github.com/ananace/matrix-synapse,other,,The Matrix Synapse homeserver for Docker / k8s,Beta,,Shell,,,,The Matrix Synapse homeserver for Docker / k8s,2018-04-24-matrix-synapse-docker.md,,,
Operator,uhoreg,https://vcs.uhoreg.ca/git/cgit/operator/,sdk,,Operator is a C++ library for plugging into the Matrix,Alpha,,C++,Apache,,,Operator is a C++ library for plugging into the Matrix,2018-04-24-Operator.md,,,
Matriksi,sailbook,https://github.com/DylanVanAssche/harbour-matriksi,client,,Matriksi is a client for Sailfish OS,Beta,https://openrepos.net/content/sailbook/matriksi,Python,GPL3,,,Matriksi is a client for Sailfish OS,2018-04-24-Matriksi.md,,,
mini-vector-android,LiMium,https://github.com/LiMium/mini-vector-android,client,,"A simpler Matrix client for Android, with fewer permissions and dependencies",Beta,,Java,Apache,,,"This is a minified Android Matrix client derived from the official client. It requires fewer permissions and compiles to a much smaller package.

Full credit goes to the original developers. This fork just shaves-off the following features and dependencies:
   * Jitsi integration (for audio / video conference)
   * React native libraries
   * Application Icon badger
   * Analytics

 
Links
* [PlayStore](https://play.google.com/store/apps/details?id=com.lavadip.miniVector)
* FDroid build, coming soon. Issue [#3](https://github.com/LiMium/mini-vector-android/issues/3)
* Matrix chat room: [#miniVectorAndroid:matrix.org](https://matrix.to/#/#miniVectorAndroid:matrix.org)",2018-04-24-mini-vector-android.md,,,
matrique,b0,https://gitlab.com/b0/matrique,client,,"A glossy client for Matrix, written in QtQuick Controls 2 and C++",Alpha,,C++,GPL3,,,"A glossy client for Matrix, written in QtQuick Controls 2 and C++",2018-04-24-matrique.md,,,
matrixstats.org,a13xmt,https://github.com/a13xmt/matrixstats.org,other,,"The first public catalog for matrix rooms, grouped by ratings or categories",Beta,https://matrixstats.org,Python,,,,"The first public catalog for matrix rooms, grouped by ratings or categories",2018-04-24-matrixstats.org.md,,,
matrix-xmpp-bridge,jfrederickson,https://github.com/pztrn/matrix-xmpp-bridge,as,,This project creates a bridge between a Matrix room and an XMPP MUC,Alpha,,Python,,,,"This project creates a bridge between a Matrix room and an XMPP MUC. It is currently very early in development and only relays messages one way (from XMPP to Matrix). Use it if you wish, but don't blame me if it blows up in your face.

This is a more updated fork of [https://github.com/jfrederickson/matrix-xmpp-bridge](https://github.com/jfrederickson/matrix-xmpp-bridge)",2018-04-24-matrix-xmpp-bridge.md,,,
Matrix VR Demo,matrix.org,,other,,This demo showcases Matrix as an open decentralised comms layer for the open VR web,Alpha,https://matrix.org/vrdemo,,,,,"This demo showcases Matrix as an open decentralised comms layer for the open VR web, illustrating:

* 1:1 calls between WebVR apps and arbitrary Matrix users, in a ""VR tour guide"" scenario.
* Video conferencing within WebVR using WebRTC calls signalled over Matrix",2018-04-24-Matrix-VR-Demo.md,,,
matrix-synapse-rest-auth,Max Dor,https://github.com/kamax-io/matrix-synapse-rest-auth,other,,REST endpoint Authentication module for synapse,Beta,,Python,AGPL3,,,"This synapse authentication module (password provider) allows you to query identity data in existing webapps, like:
- Forums (phpBB, Discourse, etc.)
- Custom Identity stores (Keycloak, ...)
- CRMs (Wordpress, ...)
- self-hosted clouds (Nextcloud, ownCloud, ...)

It is mainly used with [mxisd](https://github.com/kamax-io/mxisd), the Federated Matrix Identity Server, to provide
missing features and offer a fully integrated solution (directory, authentication, search).",2018-04-24-matrix-synapse-rest-auth.md,,,
matrix-puppet-slack,Keyvan Fatehi,https://github.com/matrix-hacks/matrix-puppet-slack,as,,puppet style slack bridge for matrix,Beta,,JavaScript,,,,"This is an unofficial matrix slack bridge that works by means of [user puppetting](https://github.com/AndrewJDR/matrix-puppet-bridge).

Get your `user_access_token` from here:

https://api.slack.com/docs/oauth-test-tokens

The bridge uses that access token to connect as a client using the slack RTM API.

This technique does not require admin on the slack team; instead, the bridge is simply a custom slack client.

The bridge supports multiple teams at once, see the config.sample.json",2018-04-24-matrix-puppet-slack.md,,,
olm,matrix.org,https://git.matrix.org/git/olm,other,,An implementation of the Double Ratchet cryptographic ratchet in C++	,Stable,https://git.matrix.org/git/olm/about/docs/olm.rst,C++,Apache,,,"An implementation of the Double Ratchet cryptographic ratchet described by <https://whispersystems.org/docs/specifications/doubleratchet/>, written in C and C++11 and exposed as a C API.

The specification of the Olm ratchet can be found at <https://git.matrix.org/git/olm/about/docs/olm.rst>.

This library also includes an implementation of the Megolm cryptographic
ratchet, as specified at <https://git.matrix.org/git/olm/about/docs/megolm.rst>.",2018-04-24-olm.md,,,
Riot,Riot.im,https://github.com/vector-im/riot-web/,client,/docs/projects/images/riot-web-small.png,Riot is a glossy web client with an emphasis on performance and usability,Stable,https://riot.im/,JavaScript,Apache,,,"[Riot](https://riot.im) is a glossy Matrix client built on top of [matrix-react-sdk](http://matrix.org/docs/projects/sdk/matrix.org-react-sdk.html) with an emphasis on performance and usability.

You can use it at [https://riot.im/app](https://riot.im/app), read more at [https://riot.im](https://riot.im) and get the source from [github](https://github.com/vector-im/vector-web)!

There is also a desktop version, which is available at [riot.im](https://riot.im/desktop.html). Taw has created RPM package builds for Fedora, CentOS, and Red Hat Enterprise Linux which are available via [GitHub](https://github.com/taw00/riot-rpm/) and [Fedora COPR](https://copr.fedorainfracloud.org/coprs/taw/Riot/).

Josué Tille has contributed a [Yunohost app](https://github.com/Josue-T/riot_ynh).",2014-06-09-riot.md,/docs/projects/images/riot-web-large.png,,#riot:matrix.org
matrix-synapse-pam,14mRh4X0r,https://github.com/14mRh4X0r/matrix-synapse-pam,other,,Allows Synapse to use UNIX accounts through PAM,Alpha,,Python,EUPL,,,"PAM auth provider for Synapse

Allows Synapse to use UNIX accounts through PAM.",2018-04-26-matrix-synapse-pam.md,,,
matrix-synapse-smf,juju2143,https://github.com/juju2143/matrix-synapse-smf,other,,Allows synapse to use SMF 2.1 forum accounts from its database as a password provider,Alpha,,Python,Apache,,,"Synapse Simple Machines Forum (SMF) Auth Provider

Allows synapse to use SMF 2.1 (or 2.0 with Sorunome's bcrypt mod) forum accounts from its database as a password provider.",2018-04-26-matrix-synapse-smf.md,,,
sygnaler,gperdomor,https://github.com/gperdomor/sygnaler,other,,sygnaler is an alternative Push Gateway for Matrix written in swift.,Beta,,Python,MIT,,,"sygnaler is an alternative Push Gateway for Matrix written in swift.

See http://matrix.org/docs/spec/client_server/r0.2.0.html#id51 for a high level overview of how notifications work in Matrix.

http://matrix.org/docs/spec/push_gateway/unstable.html#post-matrix-push-r0-notify describes the protocol that Matrix Home Servers use to send notifications to Push Gateways such as sygnaler

# Support
- Linux and macOS
- APNS authentication and certificate authentication
- Push and VOIP notifications
- Sandbox and production mode
- Multiple apps
- Support Android Apps
- Handle errors using MySQL Database",2017-01-27-sygnaler.md,,,
bullettime,Patrik Oldsberg,https://github.com/matrix-org/bullettime,server,,An experimental golang Matrix homeserver,Alpha,,Go,Apache,,,An experimental golang Matrix homeserver.,2015-09-17-bullettime.md,,,
Ruby Matrix SDK,Ananace,https://github.com/ananace/ruby-matrix-sdk,sdk,,An SDK for building Matrix communication applications in Ruby,Alpha,,Ruby,MIT,,,"{{ page.description }}

Available on [github]({{ page.repo }}), and on rubygems.org as [`matrix_sdk`](https://rubygems.org/gems/matrix_sdk).

Some examples can be found on [github]({{ page.repo }}/tree/master/examples) as well.",2018-05-11-ruby-matrix-sdk.md,,,
Transform,bettiah,https://github.com/bettiah/transform,server,,Transform is a matrix homeserver built using Typescript and Redis.,Alpha,,TypeScript,Apache,,,Transform is a matrix homeserver built using Typescript and Redis. It is not fully functional yet.,2018-06-27-transform.md,,,
VoipMS-SMS-Matrix,untidylamp,https://gitlab.com/untidylamp/VoipMS-SMS-Matrix/,as,,send and recieve SMS messages with voip.ms,Alpha,,Python,,,,The goal for this is to be able to send and recieve SMS messages with voip.ms.,2018-06-28-VoipMS-SMS-Matrix.md,,,
Seaglass,Neil Alexander,https://github.com/neilalexander/seaglass,client,/docs/projects/images/seaglass_thumb.png,Native macOS client for Matrix. Swift and Cocoa.,Alpha,,Swift,AGPL3,,,Seaglass is a truly native macOS client for Matrix. It is written in Swift and uses the Cocoa user interface framework.,2018-06-28-seaglass.md,/docs/projects/images/seaglass.png,,
python-olm,poljar,https://github.com/poljar/python-olm,other,,Python bindings for the Olm C library.,Beta,,Python,Apache,,,"Python bindings for Olm.

This is a fork of the official [python bindings][2] for the Olm C library found [here][1].
The bindings were rewritten using [CFFI for python][3].

The specification of the Olm cryptographic ratchet which is used for peer to
peer sessions of this library can be found [here][4].

The specification of the Megolm cryptographic ratchet which is used for group
sessions of this library can be found [here][5].

An example of the implementation of the Olm and Megolm cryptographic protocol
can be found in the Matrix protocol for which the implementation guide can be
found [here][6].

The full API reference can be found [here][7].

[1]: https://git.matrix.org/git/olm/about/
[2]: https://git.matrix.org/git/olm/tree/python?id=f8c61b8f8432d0b0b38d57f513c5048fb42f22ab
[3]: https://cffi.readthedocs.io/en/latest/
[4]: https://git.matrix.org/git/olm/about/docs/olm.rst
[5]: https://git.matrix.org/git/olm/about/docs/megolm.rst
[6]: https://matrix.org/docs/guides/e2e_implementation.html
[7]: https://poljar.github.io/python-olm/html/index.html",2018-06-28-python-olm.md,,,
matrix-stfu,xwiki-labs,https://github.com/xwiki-labs/matrix-stfu,other,,Spam / Trolling Filtration Utility,Beta,,JavaScript,,,,"Mass remove everything which was said by a particular user in a particular room.

Available on npm: <https://www.npmjs.com/package/matrix-stfu>",2018-07-11-matrix-stfu.md,,,
matrix-client-el,"jgkamat, alphapapa, rrix",https://github.com/jgkamat/matrix-client-el,client,/docs/projects/images/matrix-el-thumb.png,A matrix client for Emacs!,Beta,,Emacs Lisp,GPL3,,,"This is a fork of the [original matrix.el client](http://doc.rix.si/projects/matrix.el.html) with the intent of maintaining it further, fixing bugs, and providing long-term goals for the project.",2018-07-16-matrix-client-el.md,/docs/projects/images/matrix-el.png,,
olm-rs,musoke,https://github.com/musoke/olm-rs,other,,"olm, implemented in Rust",Beta,,Rust,,,,"The [Olm](https://git.matrix.org/git/olm) cryptographic ratchet (itself an
implementation of [The Double Ratchet
algorithm](https://whispersystems.org/docs/specifications/doubleratchet/)),
[rewritten in rust](https://transitiontech.ca/random/RIIR).

Relevant docs: 

  - [Double Ratchet](https://whispersystems.org/docs/specifications/doubleratchet/doubleratchet.pdf)
  - [Olm](https://git.matrix.org/git/olm/about/docs/olm.rst)
  - [Megolm](https://git.matrix.org/git/olm/about/docs/megolm.rst)

  - [Unstable matrix spec](https://matrix.org/speculator/spec/drafts%2Fe2e/client_server/unstable.html#end-to-end-encryption)
  - https://matrix.to/#/!wzHrsErnsyaqbpFiRQ:matrix.org/$1481746849447546UYXxY:matrix.org
  - https://matrix.org/~matthew/2016-12-22%20Matrix%20Balancing%20Interop%20and%20Privacy.pdf",2018-07-16-olm-rs.md,,,
libolm-go,NotAFile,https://github.com/NotAFile/libolm-go,other,,Go Bindings for libolm,Stable,,Go,Apache,,,"Go Bindings for libolm, an implementation of the Double Ratchet cryptographic ratchet",2018-07-18-libolm-go.md,,,
devilish-d20,eeeeeta,https://github.com/eeeeeta/devilish-d20,bot,,A bot for playing D&D.,Beta,,Rust,Unlicense,,,"A bot for playing the venerable game of [D&D](https://en.wikipedia.org/wiki/Dungeons_%26_Dragons) over [Matrix](http://matrix.org).
Configured like a standard [diesel](http://diesel.rs/) project.

Licensed under the [Unlicense](http://unlicense.org/).",2018-07-18-devilish-d20.md,,,
fed-tester,f0x,https://github.com/f0x52/fed-tester,other,,React.js frontend for the federation-tester api,Beta,https://neo.lain.haus/fed-tester/,JavaScript,AGPL3,,,React.js frontend for the [federation-tester api](https://github.com/matrix-org/matrix-federation-tester),2018-07-18-fed-tester.md,,,
matrix-dialogflow,vurpo,https://gitlab.com/vurpo/matrix-dialogflow,bot,,Connect a DialogFlow agent to Matrix as a chatbot,Beta,,Python,MIT,,,Connect a DialogFlow agent to Matrix as a chatbot.,2018-07-18-matrix-dialogflow.md,,,
synapse_scripts,xwiki-labs,https://github.com/xwiki-labs/synapse_scripts,other,,Various tools for maintaining a matrix synapse chat server,Beta,,Shell,,,,"Various tools for maintaining a matrix synapse chat server

## synapse_janitor.sql
Cleans a synapse Postgres database of deleted messages and abandoned rooms.

### Deleted Messages
If a message was sent in matrix and is then deleted (or *redacted* in technical parlance) it is not displayed but it is not removed from the server either. This script removes it.

### Abandoned Rooms
If a room has been joined by someone on your homeserver but currently nobody on your homeserver is using it, this script will remove all traces of that room. **NOTE**: It will cause the room to disappear from people's ""historical"" section of old rooms.
This can improve performance significantly.

### Using this script
This script should be run from the command line while synapse server is stopped.

```
psql -Umatrix synapse < synapse_janitor.sql
```

## synapse_dumper.sh
Allows easy backup of a matrix postgres database by dumping it to a compressed file.

## synapse_startloop.sh
Script which starts up synapse if it is not running. **NOTE**: This is configured for a matrix server which has the synchrotron
worker enabled, if you do not use the synchrotron, just comment the block at the bottom.

## Using these scripts

The startloop and the dumper are appropriate for use in crontab:

```
* * * * * /home/matrix/synapse_scripts/synapse_startloop.sh 2>&1 >>/home/matrix/synapse_startloop.log
0 3 * * * /home/matrix/synapse_scripts/synapse_dumper.sh 2>&1 >>/home/matrix/synapse_dumper.log
```",2018-07-18-synapse_scripts.md,,,
Riot iOS,Riot.im,https://github.com/vector-im/riot-ios,client,/docs/projects/images/vector-iOS-small.png,Riot is a glossy client with an emphasis on performance and usability,Released,https://riot.im/,Objective-C,Apache,,,"The iOS version of the [Riot](https://matrix.org/docs/projects/client/riot.html) web client. Riot is a glossy client with focus on performance and usability.

The code is available from [github](https://github.com/vector-im/vector-ios), and the app is available from the Apple [app store](https://itunes.apple.com/gb/app/vector.im/id1083446067?mt=8).",2015-04-02-riot-ios.md,/docs/projects/images/vector-iOS-large.png,,#riot:matrix.org
Riot Android,Riot.im,https://github.com/vector-im/riot-android,client,/docs/projects/images/vector-android-small.png,Riot is a glossy client with an emphasis on performance and usability,Released,https://riot.im/,Java,Apache,,,"The Android version of the [Riot](https://matrix.org/docs/projects/client/riot.html) web client. Riot is a glossy client with focus on performance and usability.

The code is available from [github](https://github.com/vector-im/vector-android), and the app is available from the [Google Play store](https://play.google.com/store/apps/details?id=im.vector.alpha) and [F-Droid](https://f-droid.org/packages/im.vector.alpha/).

If you want to help test the app, you can download development versions from [Jenkins](https://matrix.org/jenkins/job/VectorAndroidDevelop/).",2015-06-02-riot-android.md,/docs/projects/images/vector-android-large.png,,#riot:matrix.org
Construct,Jason Volk,https://github.com/jevolk/charybdis,server,,Construct is a C++ Matrix Homeserver,Alpha,,C++,BSD,,,"Construct is a fork of the charybdis ircd which adds support for Matrix's federation and client-server APIs.

No deployments are currently available for signups.",2018-05-19-construct.md,,,